,strategy,benchmark
2024-09-20,1000000.0,996603.7344759657
2024-09-23,997705.2900000004,998069.1552087789
2024-09-24,1035354.0978554843,1032849.6306395762
2024-09-25,1053126.5673745784,1045457.419241864
2024-09-26,1090185.1399246925,1080634.3380070836
2024-09-27,1165753.6339340576,1135892.1922473197
2024-09-30,1334945.2046232338,1266277.9426663308
2024-10-08,1496868.1820407521,1378468.2176853903
2024-10-09,1394481.3278740202,1251528.8219419736
2024-10-10,1355774.7739978633,1252311.8437239835
2024-10-11,1289151.1698108437,1201225.5123509092
2024-10-14,1346653.9089016104,1240588.278010146
2024-10-15,1338506.950166956,1221619.4453326485
2024-10-16,1349701.9035264174,1227644.048137749
2024-10-17,1395232.1118914823,1224378.2309962201
2024-10-18,1488241.851899409,1267588.8184683316
2024-10-21,1575658.1112598802,1297631.856372265
2024-10-22,1578087.8264452764,1307800.590752611
2024-10-23,1559532.2362800841,1314937.783631583
2024-10-24,1573805.7682516712,1314896.0896688325
2024-10-25,1623918.883239802,1342941.0194488564
2024-10-28,1671689.9621688875,1377853.758155517
2024-10-29,1760823.7557695028,1356402.3967274975
2024-10-30,1858764.1869913102,1358689.7511856966
2024-10-31,1953217.8938550595,1376368.0812525619
2024-11-01,1872894.0626827416,1332267.2064373211
2024-11-04,1815645.3914240666,1362771.6634316617
2024-11-05,1852113.6319958922,1407852.840750822
2024-11-06,1848554.8772326799,1421275.1921851677
2024-11-07,1862290.038184827,1456902.4345823082
2024-11-08,1897687.7966404706,1458624.12511653
2024-11-11,1933704.314093187,1490674.8851743988
2024-11-12,1953492.4354357678,1476181.7380095103
2024-11-13,1930004.1724719468,1479448.4759435637
2024-11-14,1897986.4552421975,1437603.3598747128
2024-11-15,1832918.431375545,1411574.1257323457
2024-11-18,1769748.4311945934,1380295.435090943
2024-11-19,1792193.2442931328,1411649.719977658
2024-11-20,1839812.4886678772,1444157.1057286619
2024-11-21,1825290.5332906854,1451370.749690471
2024-11-22,1745708.8507286082,1399973.9935524072
2024-11-25,1734788.385804436,1418705.900368083
2024-11-26,1790744.624139642,1404098.6878480308
2024-11-27,1783435.4057166365,1428054.5733111731
2024-11-28,1744867.5671668688,1431747.3134363052
2024-11-29,1739220.5297686325,1454302.669740265
2024-12-02,1799068.698550828,1486942.6610751594
2024-12-03,1825579.173037942,1490248.5783442988
2024-12-04,1788393.2833586452,1468571.9234721113
2024-12-05,1812712.546675683,1487975.0664692374
2024-12-06,1828094.6510845618,1501449.2751721456
2024-12-09,1823654.802044151,1495558.7517433532
2024-12-10,1835949.2706610954,1506924.4372319018
2024-12-11,1834263.369234357,1525675.40916663
2024-12-12,1846902.9105048918,1541111.6139736036
2024-12-13,1850977.7432231635,1515334.4480411122
2024-12-16,1811889.859082344,1505544.5094392025
2024-12-17,1743285.0228201053,1452556.0688434413
2024-12-18,1770407.329139623,1459403.9896579632
2024-12-19,1751672.2098900503,1461557.116810792
2024-12-20,1774633.7675845525,1477092.659956479
2024-12-23,1697781.6085388712,1417445.7685196234
2024-12-24,1687052.3558822053,1430876.087828677
2024-12-25,1631079.0210741742,1401876.6012329368
2024-12-26,1614259.3439930312,1418632.2800453922
2024-12-27,1609499.9621360858,1428151.0158895073
2024-12-30,1559785.5680113514,1412186.9875625316
2024-12-31,1518784.710638484,1379146.2149655318
2025-01-02,1489730.0868449814,1354507.0759492824
2025-01-03,1443970.9816206286,1307282.9922960957
2025-01-06,1271809.709374071,1300854.9077679212
2025-01-07,1389771.3837860776,1329641.9019247324
2025-01-08,1395017.7730860373,1329214.9690226207
2025-01-09,1399975.1153197987,1334340.678644822
2025-01-10,1335434.8519227211,1297377.8906395684
2025-01-13,1329266.782334572,1298583.7113019214
2025-01-14,1401139.0016045845,1361175.1695108886
2025-01-15,1403708.5965538623,1355851.0435819603
2025-01-16,1431812.2527737827,1364676.6180060767
2025-01-17,1411449.519114042,1365596.0141997926
2025-01-20,1415483.8429051947,1377842.0627603172
2025-01-21,1450204.617366071,1376165.0283061399
2025-01-22,1408377.4979823562,1360677.9305533674
2025-01-23,1366977.7387718759,1358526.5861442268
2025-01-24,1349847.596017423,1374176.4592194997
2025-01-27,1350420.280081042,1359389.4383484656
